"ADGROUP_PERFORMANCE_REPORT (Jan 1, 2018-Jun 1, 2018)",,,,,,,,,,,,
Ad group,Default max. CPC,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,Search Impr. share,Search Exact match IS
Operating Room Equipment,190000000,0,24,0.00%,0,0,1.2,0,0,0.00%,82.76%,57.14%
Sterilization Equipment,190000000,5,66,7.58%,61284000,306420000,2.4,0,0,0.00%,59.46%,88.89%
Blood Pressure Moniters,115000000,8,142,5.63%,61807500,494460000,1.7,0,0,0.00%,62.67%,68.75%
Clinical IT Systems,190000000,1,7,14.29%,129520000,129520000,1,0,0,0.00%,100.00%,100.00%
Needle Free Injections,190000000,2,12,16.67%,95625000,191250000,1.2,0,0,0.00%,32.43%, --
Plant Proteins,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Water Treatment Chemicals,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
In-Vitro Diagnostics,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Anti-Aging,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Smart Glass,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Bottled Water,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Mobile Health,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Evaporative Cooling,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Yogurt,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Power Generation,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Renewable Energy,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Genome Editing,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Gas turbine Distributed Energyx,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Indonesia Amino Acid Fertilizer,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Oats,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Carbon Black,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Beer,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Pulmonary Drugs,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Basal Cell Carcinoma Treatment,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Pneumococcal Vaccines,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Biospy Devices,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Laparoscopic Instrument,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Intraoperative Neuromonitoring,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Genome Editing,75000000,9,114,7.89%,53390000,480510000,2.8,4,120127500,44.44%,55.34%,60.00%
Polyurethane,75000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Lubricants,75000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Yogurt,75000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Plant Proteins,75000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Energy Drinks,10000000,12,213,5.63%,7460833,89530000,2.1,0,0,0.00%,33.12%,28.21%
Alcoholic Beverages,10000000,0,34,0.00%,0,0,2.9,0,0,0.00%,36.56%,33.33%
Oral Care,10000000,2,92,2.17%,5105000,10210000,2.2,0,0,0.00%,32.28%,33.33%
Diesel Generator,25000000,0,17,0.00%,0,0,3.5,0,0,0.00%,16.19%,< 10%
Food Testing and Certification,10000000,3,35,8.57%,4110000,12330000,2.7,1,12330000,33.33%,23.65%,35.29%
Snack Food,10000000,3,58,5.17%,5190000,15570000,2,0,0,0.00%,35.71%,33.33%
Clinical Trial,25000000,2,51,3.92%,6515000,13030000,2.4,0,0,0.00%,20.30%,< 10%
Chia Seeds,25000000,0,17,0.00%,0,0,1.8,0,0,0.00%,26.56%,16.67%
Steel,10000000,5,175,2.86%,6448000,32240000,2,0,0,0.00%,34.86%,30.00%
Bottled Water,10000000,16,237,6.75%,15589375,249430000,2.4,1,249430000,6.25%,38.04%,41.67%
Lithium,10000000,0,16,0.00%,0,0,1.8,0,0,0.00%,20.41%,31.58%
Total, --,821,18673,4.40%,46850158,38463980000,2,46.4,828965086,5.65%,50.67%,58.66%
